date_mutation,Unnamed: 0.1,id_mutation,valeur_fonciere,code_commune,code_departement,surface_reelle_bati,nombre_pieces_principales,surface_terrain,Appartement,Dependance,Local,Maison
2016-10-24,499,2016-134527,256000.0,13074.0,13.0,100.0,4.0,1095.0,0,0,0,1
2016-10-24,963,2016-1030691,160000.0,83095.0,83.0,63.0,3.0,500.0,0,0,0,1
2016-10-24,480,2016-133705,345000.0,13040.0,13.0,60.0,3.0,1430.0,0,0,0,1
2016-10-25,488,2016-134050,532700.0,13015.0,13.0,107.0,3.0,850.0,0,0,0,1
2016-10-26,1330,2016-1049727,218000.0,84007.0,84.0,64.0,3.0,388.0,0,0,0,1
2016-10-27,487,2016-134002,533960.0,13015.0,13.0,154.0,6.0,648.0,0,0,0,1
2016-10-27,966,2016-1030825,165000.0,83028.0,83.0,80.0,3.0,303.0,0,0,0,1
2016-10-28,482,2016-133805,870000.0,13059.0,13.0,19.0,1.0,34721.0,1,0,0,0
2016-10-28,1334,2016-1049938,60000.0,84107.0,84.0,100.0,5.0,40.0,0,0,0,1
2016-10-28,1228,2016-1044993,480000.0,83019.0,83.0,84.0,3.0,1117.0,0,0,0,1
2016-10-31,1336,2016-1050062,283500.0,84080.0,84.0,113.0,5.0,536.0,0,0,0,1
2016-11-02,494,2016-134337,355000.0,13082.0,13.0,102.0,4.0,314.0,0,0,0,1
2016-11-02,1426,2016-1053999,145000.0,84065.0,84.0,36.0,1.0,1000.0,0,0,0,1
2016-11-03,617,2016-139908,240000.0,13054.0,13.0,87.0,4.0,288.0,0,0,0,1
2016-11-03,491,2016-134191,745200.0,13001.0,13.0,175.0,6.0,2268.0,0,0,0,1
2016-11-04,1337,2016-1050118,308000.0,84141.0,84.0,102.0,4.0,1001.0,0,0,0,1
2016-11-07,965,2016-1030777,128000.0,83012.0,83.0,80.0,4.0,55.0,0,0,0,1
2016-11-09,1223,2016-1044746,487500.0,83027.0,83.0,93.0,4.0,726.0,0,0,0,1
2016-11-10,967,2016-1030877,210000.0,83092.0,83.0,100.0,8.0,231.0,0,0,0,1
2016-11-15,257,2016-122147,407773.0,13028.0,13.0,94.0,4.0,181.0,0,0,0,1
2016-11-15,497,2016-134419,7710000.0,13001.0,13.0,381.0,0.0,8630.0,0,0,1,0
2016-11-16,1097,2016-1038341,64500.0,83137.0,83.0,27.0,1.0,24.0,0,0,0,1
2016-11-17,1222,2016-1044688,137000.0,83033.0,83.0,122.0,4.0,96.0,0,0,0,1
2016-11-21,975,2016-1031223,290000.0,83055.0,83.0,78.0,3.0,1462.0,0,0,0,1
2016-11-21,1488,2016-1056753,60000.0,84078.0,84.0,60.0,2.0,120.0,0,0,0,1
2016-11-22,701,2016-143704,635000.0,13010.0,13.0,216.0,7.0,370.0,0,0,0,1
2016-11-23,1427,2016-1054041,400000.0,84051.0,84.0,100.0,3.0,65.0,1,0,0,0
2016-11-24,1226,2016-1044893,225000.0,83069.0,83.0,32.0,1.0,208.0,1,0,0,0
2016-11-25,1429,2016-1054135,319000.0,84132.0,84.0,80.0,3.0,211.0,0,0,0,1
2016-11-28,1102,2016-1038617,578150.0,83129.0,83.0,134.0,5.0,680.0,0,0,0,1
2016-11-29,1490,2016-1056848,766300.0,84012.0,84.0,320.0,6.0,268.0,0,0,0,1
2016-11-30,73,2016-111461,260000.0,13201.0,13.0,22.0,0.0,111.0,0,0,1,0
2016-11-30,972,2016-1031094,70000.0,83026.0,83.0,72.0,4.0,77.0,0,0,0,1
2016-12-01,268,2016-122588,195000.0,13031.0,13.0,72.0,4.0,635.0,0,0,0,1
